film_name,film_year,production_company
Planet of the Apes,1968,APJAC Productions
Amadeus,1984,The Saul Zaentz Company
2010: The Year We Make Contact,1984,Metro-Goldwyn-Mayer
Remo Williams: The Adventure Begins,1985,Dick Clark Productions
Happy New Year,1987,Delphi IV Productions
Beetlejuice,1988,The Geffen Company
Coming to America,1988,Eddie Murphy Productions
Scrooged,1988,Mirage Productions
Driving Miss Daisy,1989,The Zanuck Company
Edward Scissorhands,1990,20th Century Fox
Edward Scissorhands,1990,
Hook,1991,Amblin Entertainment
Star Trek VI:The Undiscovered Country,1991,Paramount Pictures
Hoffa,1992,Jersey Films
Philadelphia,1993,Clinica Estetico Productions
Ed Wood,1994,Touchstone Pictures
Forrest Gump,1994,
Star Trek: First Contact,1996,Paramount Pictures
Shakespeare in Love,1998,The Bedford Falls Company
Topsy-Turvy,1999,Thin Man Films
Life,1999,Imagine Entertainment
The Cell,2000,RadicalMedia
Moulin Rouge!,2001,Bazmark Productions
The Time Machine,2002,Parkes
The Time Machine,2002,MacDonald
The Time Machine,2002,
The Passion of the Christ,2004,Icon Productions
Star Wars: Episode III Revenge of the Sith,2005,Lucasfilm Ltd.
The Young Victoria,2009,GK Films
Guardians of the Galaxy,2014,Marvel Studios
A Man Called Ove,2015,Tre Vanner
Hillbilly Elegy,2020,Imagine Entertainment
Dune,2021,Legendary Pictures
All Quiet on the Western Front,2022,Amusement Park
Black Panther: Wakanda Forever,2022,Marvel Studios
The Road,2009,2929 Productions
The Road,2009,
Snow White and the Huntsman,2012,Roth Films
The Theory of Everything,2014,Working Title Films
The Theory of Everything,2014,
Guardians of the Galaxy Vol. 2,2017,Marvel Studios
Black Panther,2018,Marvel Studios
Dolemite Is My Name,2019,Davis Entertainment
Downton Abbey,2019,Carnival Films
Downton Abbey,2019,
The Little Things,2021,Gran Via Productions
Nightmare Alley,2021,Double Dare You Productions
Blonde,2022,Plan B Entertainment
Dune: Part Two,2024,Legendary Pictures
Waltzing with Brando,2024,Filmin'Tahiti
The Battle of Midway,1942,United States Navy
Kokoda Front Line!,1942,Cinesound Productions
"Africa, Prelude to Victory",1942,The March of Time
The March of Time,1935,Time Inc.
The Grain That Built a Hemisphere,1943,Walt Disney Productions
Inside Fighting China,1941,National Film Board of Canada
It's Everybody's War,1942,20th Century Fox
Listen to Britain,1942,Crown Film Unit
A Ship Is Born,1942,U.S. Merchant Marine
Baptism of Fire,1943,Signal Corps
The Battle of Russia,1943,U.S. Army Pictorial Service
Report from the Aleutians,1943,Army Pictorial Service
War Department Report,1943,Office of Strategic Services
The Fighting Lady,1944,United States Navy
Resisting Enemy Interrogation,1944,United States Army Air Forces First Motion Picture Unit
The Last Bomb,1945,First Motion Picture Unit
Journey into Medicine,1947,United States Information Service
The World Is Rich,1947,Films Of Fact
Daybreak in Udi,1949,Crown Film Unit
With These Hands,1950,International Ladies Garment Workers Union
Kon-Tiki,1950,Artfilm
I Was a Communist for the FBI,1951,Warner Bros.
The Sea Around Us,1953,Irwin Allen Productions
Navajo,1952,Bartlett Foster Productions
The Living Desert,1953,Walt Disney Productions
A Queen Is Crowned,1953,The Rank Organisation
The Vanishing Prairie,1954,Walt Disney Productions
The Stratford Adventure,1954,National Film Board of Canada
The Naked Eye,1956,Camera Eye Pictures
White Wilderness,1958,Walt Disney Productions
Antarctic Crossing,1958,World Wide Pictures
The Hidden World,1958,Small World Co.
Psychiatric Nursing,1958,Dynamic Films
The Race for Space,1959,
The Horse with the Flying Tail,1960,Walt Disney Productions
Rebel in Paradise,1960,
Robert Frost: A Lover's Quarrel with the World,1963,WGBH-TV
Robert Frost: A Lover's Quarrel with the World,1963,
The Yanks Are Coming,1963,David L. Wolper Productions
The Finest Hours,1964,Le Vien International
Four Days in November,1964,Wolper Productions
The Battle of the Bulge... The Brave Rifles,1965,Mascott Productions
The Forth Road Bridge,1965,Random Productions
Let My People Go: The Story of Israel,1965,David L. Wolper Productions
The War Game,1966,BBC
The Face of a Genius,1966,WBZ-TV
Helicopter Canada,1966,National Film Board of Canada
The Really Big Family,1966,David L. Wolper Productions
Festival,1967,Patchke Productions
Legendary Champions,1968,Turn of the Century Fights
Other Voices,1970,DHS Films
The Wolf Men,1969,MGM
King: A Filmed Record... Montgomery to Memphis,1970,Commonwealth United Entertainment
Say Goodbye,1971,Wolper Productions
The Hellstrom Chronicle,1971,Wolper Pictures
Alaska Wilderness Lake,1971,Alan Landsburg Productions
Ra,1972,Sveriges Radio
Always a New Beginning,1974,Goodell Motion Pictures
Journey to the Outer Limits,1973,Wolper Productions
Hearts and Minds,1974,BBS Productions
Antonia: A Portrait of the Woman,1974,Rocky Mountain Films
The 81st Blow,1974,Ghetto Fighters' House
Fighting for Our Lives,1975,National Farm Workers Service Center
The Other Half of the Sky: A China Memoir,1975,Shirley MacLaine Productions
Harlan County USA,1976,Cabin Creek Films
Off the Edge,1976,Pentacle Films
Volcano: An Inquiry into the Life and Death of Malcolm Lowry,1976,National Film Board of Canada
High Grass Circus,1976,National Film Board of Canada
Scared Straight!,1978,Golden West Television
Mysterious Castles of Clay,1978,Survival Anglia
With Babies and Banners: Story of the Women's Emergency Brigade,1979,Women's Labor History Film Project
Going the Distance,1979,National Film Board of Canada
From Mao to Mozart: Isaac Stern in China,1979,Hopewell Foundation
Agee,1980,James Agee Film Project
The Day After Trinity,1981,KTEH
Genocide,1981,Moriah Films
Just Another Missing Kid,1981,CBC
After the Axe,1982,National Film Board of Canada
In Our Water,1982,Foresight Films
He Makes Me Feel Like Dancin',1983,Edgar J. Scherick Associates
First Contact,1983,Arundel Productions
High Schools,1984,Guggenheim Productions
Artie Shaw: Time Is All You've Got,1985,Bridge Film Productions
Chile: When Will It End?,1986,Frontline Films
Hotel Terminus: The Life and Times of Klaus Barbie,1988,
The Cry of Reason: Beyers Naude - An Afrikaner Speaks Out,1988,Worldwide Documentaries Inc.
