award_id,person_id,position_id
1,1,18
2,2,18
3,3,18
4,4,18
5,3,18
6,6,18
7,7,18
8,8,18
9,9,18
10,10,18
11,8,18
12,11,18
13,11,18
14,11,18
15,11,18
16,12,18
17,13,18
17,11,18
18,15,18
18,11,18
19,12,18
20,16,18
20,17,18
21,18,18
22,19,18
23,20,18
24,21,18
25,11,18
25,3,18
25,23,18
26,24,18
26,23,18
27,11,18
27,25,18
28,26,18
28,27,18
28,28,18
29,26,18
29,29,18
30,11,18
30,30,18
30,31,18
30,15,18
30,32,18
30,33,18
30,34,18
31,26,18
31,35,18
31,36,18
31,11,18
31,31,18
31,37,18
32,11,18
33,11,18
34,11,18
35,38,18
36,32,18
37,11,18
38,11,18
39,11,18
40,11,18
44,39,18
44,40,18
44,41,18
44,32,18
45,42,18
45,43,18
45,44,18
45,45,18
46,46,18
46,47,18
46,48,18
46,31,18
47,11,18
47,49,18
47,41,18
47,38,18
48,50,18
48,51,18
48,52,18
48,53,18
48,54,18
49,55,18
49,56,18
49,57,18
49,58,18
50,11,18
51,59,18
52,59,18
53,59,18
54,59,18
55,60,18
55,61,18
55,55,18
55,50,18
56,59,18
57,32,18
58,62,18
58,57,18
58,63,18
59,64,18
59,53,18
59,65,18
60,64,18
62,66,18
63,66,18
64,66,18
65,66,18
66,67,18
67,68,18
68,67,18
69,66,18
70,66,18
71,67,18
71,69,19
71,70,19
72,66,18
72,71,19
72,72,19
72,73,19
73,75,18
73,72,19
73,76,19
73,70,19
74,67,18
74,72,19
74,77,19
74,78,19
75,75,18
75,79,19
75,72,19
75,70,19
75,80,19
76,66,18
76,81,19
76,72,19
76,82,19
77,83,18
77,81,19
77,79,19
77,72,19
77,80,19
78,84,18
78,81,19
78,72,19
78,85,19
79,86,18
79,72,19
79,87,19
79,88,19
80,84,18
80,91,19
80,92,19
80,80,19
81,93,18
81,94,19
81,95,19
82,96,18
82,75,18
82,97,19
82,98,19
83,99,18
83,100,18
83,94,19
83,82,19
83,95,19
84,66,18
84,101,19
84,94,19
84,95,19
84,102,19
85,103,18
85,104,19
85,105,19
85,95,19
85,106,19
86,86,18
86,106,19
86,95,19
86,107,19
87,108,18
87,95,19
87,106,19
87,109,19
87,110,19
88,83,18
88,111,19
88,95,19
88,106,19
88,109,19
88,110,19
89,112,18
89,95,19
89,106,19
89,109,19
89,101,19
90,112,18
90,113,19
90,114,19
90,109,19
91,115,19
91,82,19
91,116,19
91,117,19
91,118,19
92,119,19
92,120,19
92,121,19
92,116,19
92,117,19
93,122,19
93,123,19
94,124,18
94,125,18
94,126,18
94,127,19
94,128,19
94,129,19
94,130,19
95,112,18
95,115,19
95,127,19
95,131,19
96,112,18
96,132,19
96,127,19
97,133,18
97,132,19
97,134,19
