movie_id,person_id,position_id
2,135,1
2,136,6
2,137,7
2,138,7
2,139,7
2,140,8
2,141,9
2,142,10
3,143,1
3,144,6
3,145,6
3,146,7
3,147,8
3,148,9
3,149,6
4,150,1
4,150,6
4,151,7
4,152,7
4,153,7
4,154,8
4,155,9
4,156,10
4,157,10
5,158,1
5,158,6
5,159,7
5,160,8
5,161,9
5,162,10
5,163,10
5,164,10
5,165,10
5,166,10
6,167,1
6,168,6
6,169,7
6,170,7
6,171,8
6,172,9
6,173,10
6,174,6
7,175,1
7,176,7
7,177,7
7,178,9
7,179,10
8,180,1
8,181,6
8,182,7
8,183,7
8,184,8
8,185,9
8,180,6
9,186,1
9,187,6
9,188,6
9,189,6
9,190,7
9,28,7
9,191,7
9,192,7
9,193,9
9,163,10
9,194,6
10,195,1
10,136,6
10,196,7
10,197,7
10,198,7
10,199,8
10,200,9
10,201,10
11,136,6
12,202,1
12,203,6
12,204,7
12,205,8
12,206,9
12,207,10
13,208,1
13,209,7
13,210,8
13,211,9
14,212,1
14,213,6
14,136,6
14,137,7
14,214,7
14,154,8
14,215,9
14,212,6
15,216,1
15,217,6
15,218,7
15,219,8
15,220,9
15,221,6
16,222,1
16,158,1
16,158,6
16,223,7
16,224,8
16,161,9
16,162,10
16,225,10
16,163,10
17,226,1
17,187,6
17,227,7
17,228,8
17,148,9
17,162,10
17,225,10
18,158,1
18,158,6
18,223,7
18,229,7
18,160,8
18,230,9
18,231,10
18,232,6
19,175,1
19,233,6
19,234,7
19,235,7
19,210,8
19,236,9
19,237,10
19,238,10
19,175,6
19,239,6
20,240,1
20,145,6
20,241,7
20,242,8
20,220,9
20,243,10
20,244,10
20,149,6
21,208,1
21,245,6
21,246,7
21,247,7
21,248,8
21,249,8
21,250,9
21,162,10
21,251,10
21,163,10
21,252,10
21,253,6
22,216,1
22,217,6
22,254,7
22,255,7
22,256,8
22,220,9
22,251,10
22,149,6
23,8,1
23,257,6
23,258,7
23,259,8
23,260,9
23,261,10
23,262,6
24,222,1
24,263,6
24,264,7
24,265,8
24,266,9
24,173,10
24,174,6
25,267,1
25,268,6
25,269,6
25,270,7
25,271,7
25,272,8
25,273,9
25,274,10
26,275,1
26,168,6
26,276,7
26,277,8
26,250,9
26,163,10
26,253,6
27,278,1
27,279,6
27,280,7
27,229,7
27,281,8
27,148,9
27,282,10
27,283,6
28,284,1
28,284,6
28,235,7
28,285,7
28,286,8
28,287,9
28,288,10
29,8,1
29,257,6
29,258,7
29,259,8
29,260,9
29,261,10
29,289,10
29,8,6
30,278,1
30,136,6
30,280,7
30,229,7
30,290,7
30,281,8
30,291,9
30,292,10
30,283,6
31,293,1
31,293,6
31,294,7
31,182,7
31,295,8
31,161,9
31,225,10
31,253,6
32,208,1
32,218,6
32,296,7
32,256,8
32,220,9
32,297,9
32,298,10
32,299,10
32,300,6
33,301,1
33,302,6
33,303,7
33,304,7
33,171,8
33,305,9
33,173,10
33,174,6
34,240,1
34,306,6
34,307,7
34,308,7
34,309,8
34,310,9
34,311,10
34,149,6
35,312,1
35,313,1
35,314,6
35,315,6
35,145,6
35,316,7
35,317,8
35,318,9
35,207,10
35,319,6
36,320,1
36,321,6
36,322,7
36,323,8
36,324,9
36,325,10
36,326,6
37,165,1
37,257,6
37,327,7
37,328,7
37,329,7
37,330,7
37,331,7
37,332,8
37,260,9
37,207,10
37,165,10
37,289,10
37,261,10
37,262,6
38,333,1
38,334,6
38,335,7
38,336,7
38,337,8
38,338,9
38,339,10
38,283,6
39,340,1
39,341,1
39,342,1
39,343,6
39,344,7
39,341,7
39,345,7
39,337,8
39,346,9
39,338,9
39,292,10
39,283,6
40,347,1
40,188,6
40,241,7
40,348,7
40,235,7
40,349,9
40,288,10
40,350,6
41,175,1
41,136,6
41,351,7
41,227,7
41,352,7
41,353,7
41,281,8
41,310,9
41,292,10
41,175,6
42,354,1
42,302,6
42,304,7
42,355,7
42,356,7
42,357,8
42,358,9
42,173,10
42,359,10
42,174,6
43,360,1
43,361,6
43,362,7
43,363,7
43,140,8
43,364,9
43,365,10
43,283,6
44,366,1
44,367,6
44,368,6
44,369,7
44,309,8
44,370,9
44,287,9
44,371,10
44,372,6
45,222,1
45,343,6
45,373,7
45,337,8
45,374,9
45,292,10
45,339,10
45,283,6
46,202,1
46,202,6
46,375,7
46,376,8
46,377,9
46,173,10
46,174,6
47,378,1
47,379,6
47,380,7
47,381,7
47,294,7
47,382,7
47,383,7
47,384,7
47,385,8
47,250,9
47,163,10
