movie_id,in_language
2,English
3,English
4,English
5,English
6,English
7,English
8,English
9,English
10,English
12,English
13,English
14,English
15,English
16,English
17,English
18,English
19,English
20,English
21,English
22,English
23,English
24,English
25,English
26,English
27,English
29,English
30,English
31,English
32,English
33,English
34,English
35,English
36,English
37,EnglishItalian
38,English
39,English
40,English
41,English
42,English
43,English
44,English
45,English
46,English
47,English
48,English
49,English
50,English
51,English
52,English
53,English
54,English
55,English (primarily)
55,German
55,Italian
56,English
57,English
58,English
59,English
60,English
61,English
62,English
63,English
64,English
65,English
66,English
67,English
68,English
69,English
70,English
71,English
72,English
73,English
74,English
75,English
76,English
77,English
78,English
79,"French
German
English"
80,English
81,English
82,English
83,English
84,English
85,English
86,English
87,English
88,English
89,English
90,English
91,English
92,English
94,English
95,English
96,English
97,English
98,English
99,English
99,Cantonese
100,English
101,English
102,English
103,EnglishWelsh
104,English
105,English
106,English
107,English
108,English
109,English
110,English
111,English
112,English
113,English
114,EnglishFrenchGerman
115,English
116,English
117,English
118,English
119,English
120,English
121,English
122,English
123,English
124,English
125,English
126,English
127,English
128,English
129,English
130,English
131,English
132,English
133,English
134,English
135,English
136,English
137,English
138,English
139,English
140,English
141,English
142,English
143,English
144,English  French
145,English
146,English
147,English
149,English
150,English
151,English
152,English
153,English
154,English
155,"English
French"
156,English
157,English
158,English
159,English
160,English
161,English
162,English
164,English
165,English
166,English
167,English
168,English
169,English
170,English
171,English
172,English
173,English
174,English
175,English
176,English
177,Irish
178,English
179,English
180,English
181,EnglishItalian
182,English
183,English
184,English
185,English
186,English
188,English
189,English
190,English
191,English
192,EnglishItalian
193,English
194,English
195,English
196,English
197,English
198,EnglishJapanese
199,English
200,English
201,EnglishJapanese
202,English
203,English
204,English
205,English
206,English
207,English
208,English
209,English
210,EnglishGerman
211,English
212,English
213,English
254,English
294,English
329,Lakota
329,Pawnee
366,English
406,English
463,Korean
463,English
470,English
477,American Sign Language
485,English
485,Cantonese
491,English
504,English
565,English
700,EnglishSpanish
765,English
766,English
766,French
768,English
838,English
860,English
895,English
916,English
984,English
1058,English
1085,English
1110,English
1129,English
1155,English
1179,English
1216,English
1231,English
1285,English
1315,English
1367,English
1412,English
1423,English
1481,English
1538,English
1562,English
1590,English
1612,English
1647,"Korean
English"
1663,English
1664,English
1665,English
1666,English
1667,English
1668,English
1669,English
1670,English
1671,English
1672,English
1673,English
1674,English
1675,English
1676,English
1677,English
1678,English
1679,English
1680,English
1681,English
1682,French
1683,English
1684,English
1685,English
1686,English
1687,English
1688,Italian/English
1689,English
1690,ItalianEnglishGerman
1691,English
1694,English
1695,English
1696,English Spanish
1697,English
1698,English
1699,English
1700,English
1701,English
1702,English
1703,English
1704,English
1705,English
1706,English
1707,English
1708,English
1709,English
1710,"English
Italian
Spanish"
1711,English
1712,English
1713,English
1714,English
1715,English
1716,French
1717,English
1718,English
1719,English
1720,Italian
1721,English
1722,"English
French"
1723,EnglishAmerican Sign Language
1724,English
1725,Italian
1726,English
1727,English
1728,English
1729,English
1730,French
1731,English
1732,English
1733,Swedish
1735,English
1736,English
1737,FrenchJapanese
1738,GreekEnglishRussian
1739,Russian
1740,ItalianGermanHebrew
1741,"Italian
English
French
German"
1742,English
1743,English
1744,French
1745,English
1746,Swedish
1747,English
1748,Italian
1749,Italian
1750,English
1751,English
1752,English
1753,Italian
1754,French
1755,Italian
1756,EnglishItalianGermanFrench
1757,English
1758,French
1759,English
1760,English
1761,English
1762,Nguni languages
1763,English
1764,English
1765,French
1766,English
1767,ArabicFrench
1768,English
1769,English
1770,English
1771,English
1772,EnglishGerman
1773,English
1774,English
1775,English
1776,English
1777,English
1778,French
1779,Italian
1780,English
1781,English
1782,English
1783,"French
Italian
Spanish"
1784,English
1785,French
1786,English
1787,English
