movie_id,release_date
2,1930
2,1930-06-24
3,1929
3,1929-11-01
4,1930
4,1930-04-19
5,1929
5,1929-11-19
5,1930
5,1930-01-18
6,1931
6,1931-01-26
6,1931-02-09
7,1931
7,1931-02-20
7,1931-03-31
8,1931
8,1931-04-04
9,1931
9,1931-04-05
10,1931
10,1931-02-03
12,1931
12,1931-12-07
13,1931
13,1931-08-14
14,1931
14,1931-11-09
15,1931
15,1931-09-26
16,1932
16,1932-03-22
17,1932
17,1932-02-12
18,1931
18,1931-08-01
19,1933
19,1933-04-15
20,1933
20,1933-03-09
20,1933-03-11
21,1932
21,1932-12-08
22,1932
22,1932-11-10
23,1933
23,1933-09-13
24,1933
24,1933-11-16
25,17 August 1933
25,1933-08-17
26,1933
26,1933-01-27
27,1932
27,1932-09-24
28,1933
28,1933-02-10
29,1934
29,1934-02-22
30,1934
30,1934-09-14
31,1934
31,1934-08-16
31,1934-10-05
32,1934
32,1934-12-01
33,1934
33,1934-10-19
34,1934
34,1934-07-21
35,1934
35,1934-04-07
36,1934
36,1934-11-26
37,1934
37,1934-09-05
38,1934
38,1934-05-25
39,1934
39,1934-04-10
40,1934
40,1934-11-16
41,1935
41,1935-11-08
42,1935
42,1935-08-15
43,1935
43,1935-09-20
44,1935
44,1935-12-28
45,1935
45,1935-01-18
46,1935
46,1935-05-09
47,1935
47,1935-01-11
48,1935
48,1935-10-30
49,1935
49,1935-04-20
50,1935
50,1935-03-08
50,1935-03-29
51,1935
51,1935-03-08
52,1935
52,1935-08-29
53,1936
53,1936-03-22
53,1936-04-08
54,1936
54,1936-07-29
54,1936-08-29
55,1936
55,1936-09-23
56,1936
56,1936-10-09
57,1936
57,1936-04-12
58,1936
58,1936-08-20
59,1936
59,1936-06-26
60,1936
60,1936-02-22
61,1935
61,1935-12-27
62,1936
62,1936-12-20
63,1937
63,1937-08-11
64,1937
64,1937-10-21
65,1937
65,1937-05-11
65,1937-06-25
66,1937
66,1937-08-27
67,1937
67,1937-01-29
68,1938
68,1938-01-06
69,1937
69,1937-03-02
70,1937
70,1937-09-05
71,1937
71,1937-10-08
72,1937
72,1937-04-20
73,1938
73,1938-08-23
73,1938-09-01
73,1938-09-29
74,1938
74,1938-05-14
75,1938
75,1938-08-05
76,1938
76,1938-09-09
77,3 November 1938
77,1938-11-03
78,1938
78,1938-08-09
79,8 June 1937
79,1937-06-08
80,1938
80,1938-03-10
80,1938-03-26
81,6 October 1938
81,1938-10-06
82,1938
82,1938-04-15
82,1938-04-22
83,1939
83,1939-12-15
84,1939
84,1939-04-22
85,15 May 1939
85,1939-05-15
86,1939
86,1939-04-07
87,1939
87,1939-10-17
88,1939
88,1939-11-09
89,1939
89,1939-12-30
90,1939
90,1939-02-02
90,1939-03-03
91,1939
91,1939-08-10
91,1939-08-25
92,1939
92,1939-03-24
92,1939-04-13
94,1940
94,1940-07-04
95,1940
95,1940-08-16
96,1940
96,1940-01-24
97,1940
97,1940-10-15
98,1940
98,1940-12-27
99,1940
99,1940-11-22
100,1940
100,1940-10-08
101,1940
101,1940-05-24
102,1940
102,1940-12-26
102,1941
102,1941-01-17
103,1941
103,1941-10-28
104,1941
104,1941-06-26
104,1941-07-25
105,1941
105,1941-05-01
105,1941-09-05
106,1941
106,1941-08-07
107,1941
107,1941-09-26
108,1941
108,1941-08-29
108,1941-08-20
109,1941
109,1941-10-03
109,1941-10-18
110,1941
110,1941-10-02
111,1941
111,1941-07-02
112,1941
112,1941-11-14
113,1942
113,1942-06-04
113,1942-07-22
114,8 October 1941
114,1941-10-08
114,24 November 1941
114,1941-11-24
114,5 March 1942
114,1942-03-05
115,1942
115,1942-02-02
116,1942
116,1942-07-10
117,1942
117,1942-08-21
118,1942
118,1942-07-14
118,1942-08-18
119,1942
119,1942-12-17
120,1942
120,1942-08-20
121,1942
121,1942-09-01
122,1942
122,1942-05-29
123,1942
123,1942-11-26
123,1943
123,1943-01-23
124,1943
124,1943-07-14
125,1943
125,1943-08-11
126,1943
126,1943-03-02
127,17 September 1942
127,1942-09-17
128,1943
128,1943-12-15
129,1943
129,1943-05-13
130,1943
130,1943-05-08
130,1943-05-21
131,1943
131,1943-12-25
132,1943
132,1943-08-27
133,1944
133,1944-05-03
133,1944-08-16
134,1944
134,1944-07-03
135,1944
135,1944-05-04
136,1944
136,1944-07-20
137,1944
137,1944-08-01
138,1945
138,1945-11-29
139,1945
139,1945-07-19
140,1945
140,1945-12-06
141,1945
141,1945-09-28
141,1945-10-20
142,1945
142,1945-10-31
142,1945-12-28
143,1946
143,1946-11-21
144,22 November 1944
144,1944-11-22
145,1946
145,1947
145,1947-01-07
146,1946
146,1946-11-19
146,1946-12-25
147,1946
147,1946-12-18
148,1947
148,1947-11-11
149,1947
149,1947-11-25
149,1947-12-09
149,1948
149,1948-02-16
150,1947
150,1947-07-22
150,1947-08-15
151,16 December 1946
151,1946-12-16
152,1947
152,1947-06-11
153,4 May 1948
153,1948-05-04
154,1948
154,1948-09-14
155,6 September 1948
155,1948-09-06
156,1948
156,1948-11-13
157,1948
157,1948-01-14
157,1948-01-15
157,1948-01-24
158,1949
158,1949-11-08
158,January 1950
158,1950-01
159,1949
159,1949-11-09
160,1949
160,1949-10-06
160,1949-12-28
161,1949
161,1949-01-20
161,1949-02-03
162,1949
162,1949-12-21
162,1950
162,1950-01-26
164,1950
164,1950-12-25
165,1950
165,1950-05-18
165,1950-06-16
166,1950
166,1950-11-09
166,1950-11-24
167,1950
167,1950-08-10
168,1951
168,1951-10-04
168,1951-11-11
169,1951
169,1951-12-21
170,1951
170,1951-04-05
170,1951-08-14
171,1951
171,1951-11-02
172,1951
172,1951-09-19
173,1952
173,1952-01-10
174,1952
174,1952-07-24
175,1952
175,1952-07-31
176,23 December 1952
176,1952-12-23
176,13 March 1953
176,1953-03-13
177,1952
177,1952-06-06
177,1952-08-21
178,1953
178,1953-08-05
179,1953
179,1953-06-03
180,1953
180,1953-09-16
180,1953-09-17
181,1953
181,1953-08-20
181,1953-08-27
182,1953
182,1953-04-23
183,1954
183,1954-07-28
184,1954
184,1954-06-24
185,1954
