movie_id,movie_name,run_time,run_time
1,Universal,,
2,The Big House,,87.0
3,Disraeli,,90.0
4,The Divorcee,,84.0
5,The Love Parade,,107.0
6,Cimarron,,147.0
7,East Lynne,,102.0
8,The Front Page,,101.0
9,Skippy,,85.0
10,Trader Horn,,122.0
11,1931/32,,
12,Arrowsmith,,108.0
13,Bad Girl,,90.0
14,The Champ,,122.0
15,Five Star Final,,89.0
16,One Hour with You,,80.0
17,Shanghai Express,,80.0
18,The Smiling Lieutenant,,89.0
19,Cavalcade,,112.0
20,42nd Street,,89.0
21,A Farewell to Arms,,88.0
22,I Am a Fugitive from a Chain Gang,,93.0
23,Lady for a Day,,96.0
24,Little Women,,121.0
25,The Private Life of Henry VIII,,97.0
26,She Done Him Wrong,,66.0
27,Smilin' Through,,98.0
28,State Fair,,100.0
29,It Happened One Night,,105.0
30,The Barretts of Wimpole Street,,110.0
31,Cleopatra,,243.0
32,Flirtation Walk,,100.0
33,The Gay Divorcee,,107.0
34,Here Comes the Navy,,87.0
35,The House of Rothschild,,88.0
36,Imitation of Life,,111.0
37,One Night of Love,,83.0
38,The Thin Man,,91.0
39,Viva Villa!,,115.0
40,The White Parade,,80.0
41,Mutiny on the Bounty,,178.0
42,Alice Adams,,99.0
43,Broadway Melody of 1936,,101.0
44,Captain Blood,,119.0
45,David Copperfield,,133.0
46,The Informer,,91.0
47,The Lives of a Bengal Lancer,,109.0
48,A Midsummer Night's Dream,,133.0
49,Les Misérables,,158.0
50,Naughty Marietta,,103.0
51,Ruggles of Red Gap,,90.0
52,Top Hat,,101.0
53,The Great Ziegfeld,,177.0
54,Anthony Adverse,,141.0
55,Dodsworth,,101.0
56,Libeled Lady,,98.0
57,Mr. Deeds Goes to Town,,116.0
58,Romeo and Juliet,,125.0
59,San Francisco,,115.0
60,The Story of Louis Pasteur,,87.0
61,A Tale of Two Cities,,123.0
62,Three Smart Girls,,84.0
63,The Life of Emile Zola,,116.0
64,The Awful Truth,,91.0
65,Captains Courageous,,117.0
66,Dead End,,93.0
67,The Good Earth,,138.0
68,In Old Chicago,,96.0
69,Lost Horizon,,132.0
70,One Hundred Men and a Girl,,85.0
71,Stage Door,,92.0
72,A Star Is Born,,136.0
73,You Can't Take It with You,,126.0
74,The Adventures of Robin Hood,,102.0
75,Alexander's Ragtime Band,,106.0
76,Boys Town,,93.0
77,The Citadel,,110.0
78,Four Daughters,,90.0
