person_id,first_name,middle_name,last_name,birthDate,country,deathDate,birthdate,deathdate,gender
1,Douglas,,Fairbanks,,,,,,
2,William,C.,deMille,,,,,,
3,Conrad,,Nagel,,,,,,
4,Lawrence,,Grant,,,,,,
5,[1],,,,,,,,
6,Will,,Rogers,,,,,,
7,Irvin,S.,Cobb,,,,,,
8,Frank,,Capra,,,,1897-05-18,"September 3, 1991",
9,George,,Jessel,,,,,,
10,Bob,,Burns,,,,,,
11,Bob,,Hope,,,,,,
12,Jack,,Benny,,,,,,
13,John,,Cromwell,,,,,,
14,citation,,needed,,,,,,
15,James,,Stewart,,,,1907-05-21,"March 22, 1997",Male
16,Agnes,,Moorehead,,,,,,
17,Dick,,Powell,,,,,,
18,Robert,,Montgomery,,,,,,
19,Paul,,Douglas,,,,,,
20,Fred,,Astaire,,,,,,
21,Danny,,Kaye,,,,,,
22,emcee,,,,,,,,
23,Fredric,,March,,,,1897-08-31,"April 14, 1975",
24,Donald,,O'Connor,,,,,,
25,Thelma,,Ritter,,,,,,
26,Jerry,,Lewis,,,,,,
27,Claudette,,Colbert,,,,1903-09-13,"July 30, 1996",
28,Joseph,L.,Mankiewicz,,,,1909-02-11,"February 5, 1993",
29,Celeste,,Holm,,,,1994-05-05,"July 15, 2012",
30,Rosalind,,Russell,,,,,,
31,David,,Niven,,,,1910-03-01,29 July 1983,
32,Jack,,Lemmon,,,,1925-02-08,"June 27, 2001",
33,Donald,,Duck,,,,,,
34,Clarence,,Nash,,,,,,
35,Mort,,Sahl,,,,,,
36,Tony,,Randall,,,,,,
37,Laurence,,Olivier,,,,1907-05-22,11 July 1989,
38,Frank,,Sinatra,,,,1915-12-12,"May 14, 1998",
39,Helen,,Hayes,,,,1900-10-10,"March 17, 1993",
40,Alan,,King,,,,1925-09-11,"January 8, 2022",
41,Sammy,Davis,Jr.,,,,,,
42,Carol,,Burnett,,,,,,
43,Michael,,Caine,,,,1933-03-14,,
44,Charlton,,Heston,,,,1923-10-04,"April 5, 2008",
45,Rock,,Hudson,,,,,,
46,Burt,,Reynolds,,,,,,
47,Diana,,Ross,,,,,,
48,John,,Huston,,,,1906-08-05,"August 28, 1987",
49,Shirley,,MacLaine,,,,1934-04-24,,
50,Walter,,Matthau,,,,1920-10-01,"July 1, 2000",
51,Robert,,Shaw,,,,,,
52,George,,Segal,,,,,,
53,Goldie,,Hawn,,,,1945-11-21,,
54,Gene,,Kelly,,,,,,
55,Richard,,Pryor,,,,,,
56,Ellen,,Burstyn,,,,1932-12-07,,
57,Jane,,Fonda,,,,1937-12-21,,
58,Warren,,Beatty,,,,1937-03-30,,
59,Johnny,,Carson,,,,,,
60,Liza,,Minnelli,,,,1946-03-12,,
61,Dudley,,Moore,,,,,,
62,Alan,,Alda,,,,,,
63,Robin,,Williams,,,,1951-07-21,"August 11, 2014",
64,Chevy,,Chase,,,,,,
65,Paul,,Hogan,,,,1939-10-08,,
66,Billy,,Crystal,,,,,,
67,Whoopi,,Goldberg,,,,1955-11-13,,
