person_id,first_name,middle_name,last_name,birthDate,country,deathDate
9,George,,Jessel,,,
13,John,,Cromwell,,,
18,Robert,,Montgomery,,,
29,Celeste,,Holm,1917-01-01,United States,2012-01-01
50,Walter,,Matthau,1920-01-01,United States,2000-01-01
31,David,,Niven,1910-01-01,United Kingdom,1983-01-01
23,Fredric,,March,1897-01-01,United States,1975-01-01
53,Goldie,,Hawn,1945-01-01,United States,
27,Claudette,,Colbert,1903-01-01,France,1996-01-01
39,Helen,,Hayes,1900-01-01,United States,1993-01-01
44,Charlton,,Heston,1923-01-01,United States,2008-01-01
49,Shirley,,MacLaine,1934-01-01,United States,
54,Gene,,Kelly,1912-01-01,United States,1996-01-01
32,Jack,,Lemmon,1925-01-01,United States,2001-01-01
48,John,,Huston,1906-01-01,United States,1987-01-01
55,Richard,,Pryor,1940-01-01,United States,2005-01-01
28,Joseph,L.,Mankiewicz,1909-01-01,United States,1993-01-01
8,Frank,,Capra,1897-01-01,France,1991-01-01
65,Paul,,Hogan,1939-01-01,United Kingdom,
56,Ellen,,Burstyn,1932-01-01,United States,
43,Michael,,Caine,1933-01-01,United Kingdom,
135,George,,Hill,,,
141,Harold,,Wenstrom,,US,1944-01-01
138,Joe,,Farnham,1884-01-01,United States,1931-01-01
140,Blanche,,Sewell,1898-01-01,United States,1949-01-01
139,Martin,,Flavin,1883-01-01,United States,1967-01-01
60,Liza,,Minnelli,1946-01-01,United States,
142,no,,credit,,,
122,Ariana,,DeBose,1991-01-01,United States,
137,Frances,,Marion,1888-01-01,United States,1973-01-01
58,Warren,,Beatty,1937-01-01,United States,
69,Geena,,Davis,1956-01-01,United States,
143,Alfred,E.,Green,1889-01-01,United States,1960-01-01
146,Julien,,Josephson,,,
147,Owen,,Marks,1899-01-01,United Kingdom,1960-01-01
136,Irving,,Thalberg,1899-01-01,United States,1936-01-01
148,Lee,,Garmes,1898-01-01,United States,1978-01-01
153,John,,Meehan,,,
37,Laurence,,Olivier,1907-01-01,United Kingdom,1989-01-01
151,Nick,,Grinde,1893-01-01,US,1979-01-01
154,Hugh,,Wynn,,United States,1936-01-01
150,Robert,Z.,Leonard,1889-01-01,United States,1968-01-01
57,Jane,,Fonda,1937-01-01,United States,
75,Steve,,Martin,1945-01-01,United States,
67,Whoopi,,Goldberg,1955-01-01,United States,
15,James,,Stewart,1908-01-01,United States,1997-01-01
157,Milton,,Ager,1893-01-01,United States,1979-01-01
63,Robin,,Williams,1951-01-01,United States,2014-01-01
145,Darryl,F.,Zanuck,1902-01-01,United States,1979-01-01
155,Norbert,,Brodine,1896-01-01,US,1970-01-01
156,Jack,,Yellen,1892-01-01,Russia,1991-01-01
103,Seth,,MacFarlane,1973-01-01,United States,
160,Merrill,G.,White,,United States,1959-01-01
152,Zelda,,Sears,1873-01-01,United States,1935-01-01
100,Anne,,Hathaway,1982-01-01,United States,
162,W.,Franke,Harling,,,
144,Jack,L.,Warner,1892-01-01,Canada,1978-01-01
159,Guy,,Bolton,,,
161,Victor,,Milner,1893-01-01,United States,1972-01-01
158,Ernst,,Lubitsch,1892-01-01,Germany,1947-01-01
164,Max,,Terr,1889-01-01,Russia,1951-01-01
163,John,,Leipold,,,
170,Louis,,Sarecky,1886-01-01,Russia,1946-01-01
171,William,,Hamilton,,,
168,William,,LeBaron,1883-01-01,United States,1958-01-01
167,Wesley,,Ruggles,1889-01-01,United States,1972-01-01
169,Howard,,Estabrook,1884-01-01,United States,1978-01-01
176,Tom,,Barry,,,
165,Victor,,Schertzinger,1888-01-01,United States,1941-01-01
166,Clifford,,Grey,,,
177,Bradley,,King,,,
38,Frank,,Sinatra,1915-01-01,United States,1998-01-01
172,Edward,,Cronjager,1904-01-01,United States,1960-01-01
178,John,F.,Seitz,1892-01-01,United States,1979-01-01
174,RKO,,Radio,,,
175,Frank,,Lloyd,,United Kingdom,1960-01-01
184,W.,Duncan,Mansfield,1897-01-01,United States,1971-01-01
182,Bartlett,,Cormack,1898-01-01,United States,1942-01-01
185,Glen,,MacWilliams,,,
190,Norman,,McLeod,,,
179,Richard,FallCarli,Elinor,,,
192,Sam,,Mintz,1897-01-01,Russia,1957-01-01
183,Charles,,Lederer,1910-01-01,US,1976-01-01
191,Don,,Marquis,,,
188,Jesse,L.,Lasky,1880-01-01,United States,1958-01-01
189,B.,P.,Schulberg,,United States,1957-01-01
186,Norman,,Taurog,1899-01-01,United States,1981-01-01
194,B.P.,,Schulberg,,United States,1957-01-01
187,Adolph,,Zukor,1873-01-01,Austria,1976-01-01
199,Ben,,Lewis,,,
196,Dale,Van,Every,,,
173,Max,,Steiner,1888-01-01,Austria,1971-01-01
201,James,,McKay,,,
193,Karl,,Struss,1886-01-01,United States,1981-01-01
197,John,T.,Neville,,United States,
205,Hugh,,Bennett,,,
198,Cyril,,Hume,1900-01-01,US,1966-01-01
195,W.S.,Van,Dyke,1889-01-01,United States,1943-01-01
200,Clyde,De,Vinna,1890-01-01,United States,1953-01-01
149,Warner,,Bros.,,,
206,Ray,,June,1895-01-01,United States,1958-01-01
210,Margaret,,Clancey,,United States,
209,Edwin,J.,Burke,1889-01-01,United States,1944-01-01
211,Chester,A.,Lyons,,United States,1936-01-01
204,Sidney,,Howard,,United States,1939-01-01
203,Samuel,,Goldwyn,1882-01-01,Russia,1974-01-01
218,Robert,,Lord,,,
215,Gordon,,Avil,1899-01-01,United States,1970-01-01
213,Harry,,Rapf,,United States,1949-01-01
221,First,,National,,,
208,Frank,,Borzage,1894-01-01,United States,1962-01-01
214,Leonard,,Praskins,,,
181,Howard,,Hughes,1905-01-01,United States,1976-01-01
217,Hal,B.,Wallis,1898-01-01,United States,1986-01-01
180,Lewis,,Milestone,1895-01-01,Russia,1980-01-01
220,Sol,,Polito,1892-01-01,Italy,1960-01-01
207,Alfred,,Newman,1900-01-01,United States,1970-01-01
228,Frank,,Sullivan,,,
223,Samson,,Raphaelson,1894-01-01,United States,1983-01-01
225,Rudolph,G.,Kopp,,Austro-Hungarian Empire,1972-01-01
219,Frank,,Ware,,,
224,William,,Shea,1907-01-01,United States,1991-01-01
229,Ernest,,Vajda,,,
227,Jules,,Furthman,1888-01-01,United States,1966-01-01
230,George,J.,Folsey,1898-01-01,United States,1988-01-01
233,Winfield,R.,Sheehan,1883-01-01,1883,1945-01-01
236,Ernest,,Palmer,,,
242,Thomas,,Pratt,,,
231,Adolph,,Deutsch,1897-01-01,United Kingdom,1980-01-01
237,Arthur,,Lange,,,
234,Reginald,,Berkeley,1890-01-01,United Kingdom,1935-01-01
239,Winfield,,Sheehan,1883-01-01,1883,1945-01-01
241,Rian,,James,1899-01-01,United States,1953-01-01
238,J.,S.,Zamecnik,1872-01-01,United States,1953-01-01
240,Lloyd,,Bacon,1889-01-01,United States,1955-01-01
222,George,,Cukor,1899-01-01,United States,1983-01-01
246,Benjamin,,Glazer,,Ireland,1956-01-01
235,Sonya,,Levien,1888-01-01,Russia,1960-01-01
247,Oliver,H.P.,Garrett,1894-01-01,US,1952-01-01
202,John,,Ford,1894-01-01,United States,1973-01-01
253,Paramount,,Paramount,,,
251,Bernhard,,Kaun,1899-01-01,United States,1980-01-01
249,George,Nicholls,Jr.,1897-01-01,United States,1939-01-01
244,Al,,Dubin,1891-01-01,Switzerland,1945-01-01
245,Edward,A. Blatt Benjamin,Glazer,,,
250,Charles,,Lang,1902-01-01,United States,1998-01-01
254,Howard,J.,Green,1893-01-01,US,1965-01-01
256,William,,Holmes,,,
248,Otho,,Lovering,1892-01-01,United States,1968-01-01
212,King,,Vidor,1894-01-01,United States,1982-01-01
243,Harry,,Warren,1893-01-01,United States,1981-01-01
252,Ralph,,Rainger,1901-01-01,United States,1942-01-01
255,Brown,,Holmes,,,
260,Joseph,,Walker,,,
226,Josef,von,Sternberg,1894-01-01,Austria,1969-01-01
216,Mervyn,,LeRoy,1900-01-01,United States,1987-01-01
257,Harry,,Cohn,1891-01-01,United States,1958-01-01
232,Paramount,,Publix,,,
272,Stephen,,Harrison,,,
265,Jack,,Kitchin,,United Kingdom,1983-01-01
264,David,,Hempstead,1909-01-01,United States,1983-01-01
268,Alex,,Alex,,,
270,Lajos,,Bíró,1880-01-01,Romania),1948-01-01
261,Howard,,Jackson,,,
271,Arthur,,Wimperis,,,
274,Kurt,,Schröder,1888-01-01,Germany,1962-01-01
258,Robert,,Riskin,1897-01-01,United States,1955-01-01
267,Alexander,,Korda,1893-01-01,Hungary),1956-01-01
278,Sidney,,Franklin,,,
277,Alexander,,Hall,1894-01-01,US,1968-01-01
273,Georges,,Périnal,,France,1965-01-01
275,Lowell,,Sherman,1888-01-01,US,1934-01-01
280,Donald,Ogden,Stewart,1894-01-01,United States,1980-01-01
285,Paul,,Green,,,
284,Henry,,King,,,
276,John,,Bright,1811-01-01,United Kingdom,1889-01-01
286,Robert,,Bischoff,,United States,1945-01-01
287,Hal,,Mohr,1894-01-01,United States,1974-01-01
266,Henry,W.,Gerrard,,,
